mobile_subscriber_id,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
2930375,NULL,NULL,NULL,NULL,NULL,1.5865
2934703,NULL,NULL,NULL,NULL,NULL,0.0726
257789,NULL,NULL,NULL,NULL,NULL,NULL
2938533,NULL,NULL,NULL,NULL,NULL,NULL
274709,5.5347,NULL,NULL,NULL,NULL,NULL
279037,6.4915,6.7685,8.2380,6.6252,8.3364,6.9383
279369,2.7709,3.2625,5.5460,9.6022,12.9093,6.9391
2916157,2.8667,3.0626,3.0185,2.5658,2.3696,2.6351
280451,NULL,NULL,0.0037,0.0871,0.0343,NULL
2923820,NULL,NULL,2.7514,1.0906,5.2658,1.5825
2931394,NULL,NULL,0.1519,42.2234,29.3002,24.1670
244808,0.0177,0.0174,0.0165,0.0159,0.0167,0.0161
2902572,0.0431,0.5142,0.9241,0.3811,0.6753,0.9299
2909519,0.6335,NULL,NULL,NULL,NULL,NULL
2910146,NULL,43.2544,0.0008,1.7884,0.0959,9.9439
283305,NULL,NULL,0.0373,0.0087,0.1521,0.0733
2937405,NULL,NULL,NULL,NULL,NULL,NULL
247364,0.0064,0.0012,0.0486,0.0091,0.0006,0.0006
263093,1.8620,0.6419,1.1701,1.4946,0.1778,0.4520
2902134,2.7758,0.0067,0.2881,NULL,NULL,NULL
2906462,0.1733,0.0640,0.0700,0.1793,0.1988,0.1530
216421,0.0000,NULL,NULL,NULL,NULL,NULL
235067,0.5626,NULL,NULL,NULL,NULL,NULL
238897,1.2017,1.8938,2.0138,1.9203,2.4903,3.6661
247756,3.6935,35.0858,37.2306,17.1934,24.8637,43.2663
252379,0.0902,0.1136,0.0924,0.0952,0.1422,0.2407
254045,0.1940,0.1019,0.1223,0.1238,0.1226,0.1551
257537,0.0058,0.0013,0.0042,0.0022,0.0067,0.0123
284341,0.4846,0.3371,0.2593,0.2443,0.2599,0.2257
2904690,1.8552,2.2495,3.2211,6.1344,3.5987,3.5697
2909018,0.0540,0.1122,0.0584,NULL,0.0439,0.0057
261473,0.0534,0.1576,0.6976,0.2938,0.5682,1.2983
283113,11.7100,0.9954,NULL,NULL,NULL,NULL
2897511,0.1090,0.1165,0.1505,0.1201,0.1451,0.2344
2898593,0.2595,1.5194,1.6993,3.0233,1.9259,0.8678
2915905,0.0009,0.0025,0.0035,0.0015,0.0010,0.0009
215293,0.0015,0.0000,0.0000,0.0001,0.0000,0.0000
258917,0.0855,0.7322,0.3962,0.2694,0.0386,0.1422
2918759,0.0001,NULL,0.0063,0.0049,0.0073,0.0045
2919841,0.3398,0.3603,0.4146,0.2782,0.3807,0.3670
2923382,0.2701,NULL,NULL,NULL,0.0000,0.0000
2927710,1.2101,0.4870,1.1284,23.2686,22.4035,10.2826
2928792,NULL,0.0014,0.0024,0.0015,0.0026,0.0030
2937153,NULL,NULL,NULL,NULL,NULL,NULL
224642,3.0083,7.8959,10.1155,17.8383,17.0001,25.1839
242452,0.0108,0.0023,0.2625,0.0818,0.0109,0.1081
265598,0.0105,0.0230,0.0054,0.0074,0.0070,0.0058
288151,0.1074,0.1024,0.0532,0.0492,0.7894,0.0296
288649,3.6594,0.8569,1.5260,6.7579,1.1452,1.2332
2902718,1.0949,0.8424,0.8775,0.5111,0.7065,1.0281
2911374,0.1196,NULL,0.3426,0.0569,0.3519,NULL
2929184,NULL,NULL,NULL,NULL,0.0953,NULL
2932433,NULL,NULL,NULL,NULL,0.0620,0.2025
2903216,NULL,NULL,NULL,NULL,NULL,NULL
221204,0.6119,0.4133,0.3868,0.2348,1.1958,NULL
276767,41.6892,8.3860,2.9884,5.8789,9.4501,9.5177
2907936,0.5355,2.5667,1.1072,0.9326,4.4571,2.0409
228343,0.0280,0.0311,0.3049,0.0032,0.1197,0.1419
251818,0.0464,0.0000,NULL,NULL,NULL,NULL
267138,0.1920,0.2368,0.1862,0.2558,0.1668,0.1874
274540,0.0348,0.3586,0.1064,0.5388,2.3795,0.5062
284450,1.0044,NULL,NULL,NULL,NULL,NULL
2921739,6.8813,9.4497,9.9764,10.5095,14.2324,14.1018
220205,0.3324,0.6301,0.5312,0.5181,0.9963,0.8654
234271,0.0001,NULL,NULL,NULL,NULL,NULL
237517,16.7206,13.7254,4.2624,0.0356,0.0416,0.0166
256538,0.4127,0.4137,1.3272,0.9759,1.3610,6.1718
263202,0.1957,1.5685,4.5863,4.4068,5.5748,5.6899
266903,0.6422,0.6465,0.8025,0.6071,0.6860,0.6607
2942987,NULL,NULL,NULL,NULL,NULL,NULL
2914929,6.8505,1.3336,7.6285,4.7387,5.9572,7.1786
268612,NULL,0.0019,NULL,NULL,NULL,NULL
2929376,NULL,0.0001,NULL,0.0398,0.0471,0.0437
245890,NULL,NULL,NULL,NULL,0.1706,0.0031
2932622,NULL,NULL,NULL,NULL,NULL,NULL
2923966,NULL,NULL,NULL,NULL,NULL,NULL
271008,7.5276,7.9776,9.0671,9.6167,NULL,NULL
288320,0.2369,0.3312,0.3419,0.3720,0.3225,0.2789
